SampleSet,AIN0,AIN1,AIN2,AIN3
708,1460,6431052,3106989,2067327
709,1471,6432372,3099944,2073286
710,1469,6436960,3096958,2071216
711,1468,6429756,3105827,2076197
712,1452,6426877,3100364,2071533
713,1438,6486250,3107790,2072477
714,1433,6424177,3102506,2076681
715,1439,6431630,3097657,2072978
716,1420,6429948,3106784,2143561
717,1439,6433337,3102408,2072119
718,1458,6487535,3112523,2077257
719,1485,6424707,3104326,2146978
720,1445,6425685,3099911,2076736
721,1449,6427219,3106002,2143604
722,1453,6426403,3096768,2147394
723,1443,6424044,3101994,2143295
724,1440,6432648,3111066,2147672
725,1470,6428131,3106746,2145529
726,1474,6431724,3181900,2150621
727,1444,6423982,3111654,2144729
728,1479,6359089,3184995,2075671
729,1432,6428151,3190604,2145073
730,1442,6427673,3184111,2075752
731,1420,6429969,3191273,2146145
732,1442,6430212,3185183,2073866
733,1438,6485533,3193656,2070036
734,1453,6428727,3200375,2075814
735,1450,6423740,3194752,2073534
736,1453,6487848,3201766,2143106
737,1456,6423571,3206335,2147607
738,1432,6424392,3198056,2142985
739,1415,6424846,3204440,2147733
740,1494,6428470,3197153,2144194
741,1429,6487663,3204184,2148624
742,1479,6425455,3197712,2152710
743,1457,6428167,3200288,2149172
744,1451,6428191,3207307,2154261
745,1455,6424839,3200412,2149714
746,1440,6426209,3205171,2149724
747,1462,6424118,3106184,2125757
748,1466,6426368,3101581,2116628
749,1451,6426343,3108435,2118356
750,1484,6427378,3181764,2118759
751,1460,6486828,3111165,2111870
752,1448,6426844,3185749,2114226
753,1431,6424086,3114963,2114545
754,1449,6487550,3182444,2107378
755,1486,6429515,3188617,2108371
756,1486,6424330,3182253,2102051
757,1436,6373561,3189142,2103391
758,1432,6424509,3183335,2105855
759,1429,6431983,3188080,2099981
760,1450,6425526,3196338,2103534
761,1473,6427844,3191453,2098714
762,1435,6487922,3197730,2097465
763,1444,6425831,3190256,2098396
764,1448,6428352,3182132,2158004
765,1457,6425380,3189458,2160515
766,1479,6428731,3183388,2097496
767,1469,6364538,3186956,2157006
768,1494,6428003,3193353,2160407
769,1460,6426620,3188568,2098062
770,1470,6423755,3191044,2158916
771,1432,6487131,3196795,2161731
772,1439,6429630,3188944,2155927
773,1465,6428630,3196877,2159837
774,1429,6426287,3189940,2154732
775,1467,6432627,3197111,2154948
776,1487,6422784,3190969,2158422
777,1460,6430570,3194069,2154569
778,1436,6426211,3187647,2150604
779,1442,6423334,3184729,2147980
780,1435,6429620,3115145,2145027
781,1421,6487608,3111015,2149360
782,1461,6428588,3183406,2153180
783,1457,6426179,3189762,2154631
784,1437,6423070,3198117,2158603
785,1439,6428277,3206173,2097721
786,1452,6426382,3148975,2102241
787,1455,6426780,3155748,2099310
788,1479,6423272,3210250,2157547
789,1519,6425316,3204410,2154149
790,1464,6485020,3199690,2152175
791,1473,6487152,3195374,2156259
792,1467,6425368,3201716,2157414
793,1456,6426436,3209886,2161871
794,1480,6428831,3152672,2102298
795,1429,6430716,3155490,2104099
796,1437,6431142,3162384,2107627
797,1431,6483983,3167398,2109742
798,1442,6487109,3171623,2112255
799,1436,6423794,3176817,2115131
800,1468,6425882,3246007,2110898
801,1473,6484782,3179587,2110024
802,1460,6448936,3099027,2105846
803,1496,6464451,3096920,2100602
804,1474,6425734,3095592,2161589
805,1446,6425461,3093622,2157580
806,1443,6426550,3101024,2160186
807,1435,6488031,3106310,2160439
808,1481,6430544,3181546,2098678
809,1443,6424926,3190335,2102484
810,1461,6427206,3198451,2105380
811,1437,6428002,3206479,2108840
812,1469,6432594,3203334,2111501
813,1450,6454127,3192823,2154518
814,1486,6431237,3190849,2154147
815,1462,6454738,3192949,2142576
816,1437,6429354,3187715,2073772
817,1483,6460644,3114794,2069939
